LGA,Deceased Cases,,State lowest SES LGAs,,Melbourne lowest SES LGAs ,,Worst hit weighted by population,,,,,
Brimbank (C),65,2,Central Goldfields,1,Greater Dandenong,1,1,Darebin,34.76,,,
Casey (C),56,7,Greater Dandenong,2,Brimbank,2,2,Brimbank,33.45,,,
Darebin (C),51,13,Brimbank,3,Hume,3,3,Moreland,28.91,,,
Monash (C),48,21,Latrobe,4,Frankston,4,4,Monash,26.28,,,
Moreland (C),47,15,Mildura,5,Melton,5,5,Macedon Ranges,26.03,,943,
Whittlesea (C),47,6,Northern Grampians,6,Whittlesea,6,6,Greater Dandenong,24.33,,240,327
Greater Dandenong (C),37,1,Yarriambiack,7,Casey,7,7,Whittlesea,23.8,,,
Hume (C),35,3,Ararat,8,Cardinia,8,8,Hobsonâ€™s Bay,23.65,,109,
Kingston (C) (Vic.),32,18,Loddon,9,Wyndham,9,9,Manningham,23.22,,,
Whitehorse (C),32,22,Hindmarsh,10,Mornington Peninsula,10,10,Bayside,21.63,,,
Manningham (C),27,24,Glenelg,11,Yarra Ranges,11,11,Kingston,21.14,,,
Frankston (C),23,4,Hume,12,Maribyrnong,12,12,Whitehorse,19.74,,,
Glen Eira (C),23,26,Hume City,13,Darebin,13,13,Greater Shepparton,18.8,,,
Banyule (C),22,20,Swan Hill,14,Hobsons Bay,14,14,Casey,18.71,,,
Mornington Peninsula (S),22,10,Greater Shepparton,15,Moreland,15,15,Maribyrnong,18.23,,,
Bayside (C),21,30,Benalla,16,Knox,16,16,Banyule,18.05,,,
Hobsons Bay (C),21,14,Moira,17,Maroondah,17,17,Hume,17.73,,,
Knox (C),20,16,Pyrenees,18,Kingston,18,18,Frankston,17.15,,,
Boroondara (C),19,31,Gannawarra,19,Moonee Valley,19,17,Glen Eira,16.33,,,
Melton (C),18,5,East Gippsland,20,Banyule,20,18,Mitchell,16.44,,,
Greater Geelong (C),17,-,Colac-Otway,21,Monash,21,19,Mornington Peninsula,14.9,,,
Moonee Valley (C),16,19,Unincorporated Vic,22,Whitehorse,22,20,Moonee Valley,13.71,,,
Wyndham (C),16,9,Bass Coast,23,Melbourne,23,21,Melton,13.29,,,
Maribyrnong (C),15,12,Buloke,24,Manningham,24,22,Knox,12.98,,,
Melbourne (C),15,23,Campaspe,25,Yarra,25,23,Stonnington,11.56,,,
Greater Shepparton (C),12,-,Strathbogie,26,Glen Eira,26,24,Nillumbik,11.42,,,
Macedon Ranges (S),12,-,Wellington,27,Nillumbik,27,25,Boroondara 11.36,,,,
Stonnington (C),12,29,Corangamite,28,Port Phillip,28,,,,,,
Maroondah (C),10,17,Wodonga,29,Stonnington,29,,,,,,
Ballarat (C),9,-,Ballarat,30,Bayside,30,,,,,,
Yarra Ranges (S),9,,,,Boroondara,31,,,,,,
Cardinia (S),8,,,,,,,,,,,
Yarra (C),8,,,,,,,,,,,
Latrobe (C) (Vic.),7,,,,,,,,,,,
Nillumbik (S),7,,,,,,,,,,,
Mitchell (S),6,,,,,,,,,,,
East Gippsland (S),5,,,,,,,,,,,
Greater Bendigo (C),5,,,,,,,,,,,
Bass Coast (S),< 5,,,,,,,,,,,
Baw Baw (S),< 5,,,,,,,,,,,
Benalla (RC),< 5,,,,,,,,,,,
Campaspe (S),< 5,,855,,,,,,,,,
Central Goldfields (S),< 5,,,,,,,,,,,
Colac-Otway (S),< 5,,,,,,,,,,,
Gannawarra (S),< 5,,,,,,,,,,,
Golden Plains (S),< 5,,,,,,,,,,,
Hepburn (S),< 5,,,,,,,,,,,
Indigo (S),< 5,,,,,,,,,,,
Interstate,< 5,,,,,,,,,,,
Mildura (RC),< 5,,,,,,,,,,,
Moira (S),< 5,,,,,,,,,,,
Moorabool (S),< 5,,,,,,,,,,,
Murrindindi (S),< 5,,,,,,,,,,,
Northern Grampians (S),< 5,,,,,,,,,,,
Overseas,< 5,,,,,,,,,,,
Port Phillip (C),< 5,,,,,,,,,,,
Pyrenees (S),< 5,,,,,,,,,,,
Queenscliffe (B),< 5,,,,,,,,,,,
Southern Grampians (S),< 5,,,,,,,,,,,
Surf Coast (S),< 5,,,,,,,,,,,
Swan Hill (RC),< 5,,,,,,,,,,,
Warrnambool (C),< 5,,,,,,,,,,,
Wellington (S),< 5,,,,,,,,,,,
Wodonga (C),< 5,,,,,,,,,,,
Unknown,36,,,,,,,,,,,
Total Cases,943,,,,,,,,,,,